Name,Nation,Club,League,OVR,POT,Age,Height,Weight,Position,Reputation,Value,Wage
Tomas Holy,Czech Republic , Carlisle United , England League Two (4),62,62,30,206cm,102kg,GK,1,£250K,£1.7K
Isaak Toure,France , AJ Auxerre , France Ligue 1 (1),68,82,19,204cm,75kg,CB,1,£2.4M,£3.3K
Tim Malmstrom,Sweden , Mjallby AIF , Sweden Allsvenskan (1),51,71,17,204cm,79kg,CB,1,£130K,£500
Pape-Alioune Ndiaye,France , Altach , Austria Bundesliga (1),62,66,24,203cm,71kg,"CB, LB",1,£450K,£1.9K
Corey Addai,Jamaica , Crawley Town , England League Two (4),57,60,24,203cm,77kg,GK,1,£160K,£1.5K
Fejsal Mulic,Serbia , Suwon Bluewings , Korea K League 1 (1),67,67,27,203cm,84kg,ST,1,£1000K,£2.3K
Cian Tyler,Wales , Coventry City , England Championship (2),54,68,20,203cm,89kg,GK,1,£200K,£1.4K
Matthew Nocita,United States , New York Red Bulls , USA Major League Soccer (1),56,64,22,203cm,93kg,CB,1,£275K,£1K
Andries Noppert,Netherlands , sc Heerenveen , Holland Eredivisie (1),75,77,28,203cm,94kg,GK,1,£4.8M,£6.3K
Massamba Ndiaye,Senegal , Pau FC , France Ligue 2 (2),62,70,20,202cm,80kg,GK,1,£675K,£500
Kjell Scherpen,Netherlands , Vitesse , Holland Eredivisie (1),67,76,22,202cm,85kg,GK,1,£1.8M,£3.2K
Samuel Brolin,Sweden , AC Horsens , Denmark Superliga (1),65,75,21,202cm,85kg,GK,1,£1.3M,£1.4K
Anosike Ementa,Denmark , Aalborg BK , Denmark Superliga (1),61,73,20,202cm,85kg,ST,1,£725K,£2K
Sebastian Selin,Sweden , Hammarby IF , Sweden Allsvenskan (1),57,74,19,202cm,85kg,GK,1,£120K,£500
Cottrell Ezekwem,Germany , SC Verl , Germany 3. Liga (3),62,68,23,202cm,88kg,CB,1,£525K,£500
Vanja Milinkovic-Savic,Serbia , Torino , Italy Serie A (1),74,78,25,202cm,90kg,GK,1,£4.1M,£21.5K
Skelly Alvero,France , FC Sochaux , France Ligue 2 (2),54,64,20,202cm,93kg,CDM,1,£200K,£750
Lorenzo Lucca,Italy , Ajax , Holland Eredivisie (1),72,80,21,201cm,78kg,ST,1,£4.8M,£8.5K
Matt Macey,England , Portsmouth , England League One (3),67,69,27,201cm,81kg,GK,1,£850K,£3.2K
Jamie Lawrence,Germany , 1. FC Magdeburg , Germany 2. Bundesliga (2),64,76,19,201cm,84kg,CB,1,£1.2M,£1.4K
Elias Rafn Olafsson,Iceland , FC Midtjylland , Denmark Superliga (1),66,75,22,201cm,85kg,GK,1,£1.5M,£4.2K
Ross Laidlaw,Scotland , Ross County , Scotland Premiership (1),62,62,30,201cm,85kg,GK,1,£250K,£1K
Tim Ronning,Sweden , IF Elfsborg , Sweden Allsvenskan (1),68,73,23,201cm,88kg,GK,1,£1.3M,£1.4K
Hunter Sulte,United States , Portland Timbers , USA Major League Soccer (1),55,65,20,201cm,89kg,GK,1,£220K,£551
Henk Veerman,Netherlands , FC Volendam , Holland Eredivisie (1),69,69,31,201cm,90kg,ST,1,£1.1M,£4.3K
Fraser Forster,England , Tottenham Hotspur , England Premier League (1),76,76,34,201cm,93kg,GK,2,£3.3M,£47K
Simon Makienok,Denmark , AC Horsens , Denmark Superliga (1),66,66,31,201cm,94kg,ST,1,£650K,£3.6K
Lovre Kalinic,Croatia , Hajduk Split , Rest of World,74,74,32,201cm,96kg,GK,1,£2.5M,£13.5K
Karlo Letica,Croatia , FC Hermannstadt , Romania Liga I (1),68,73,25,201cm,96kg,GK,1,£1.3M,£1.9K
Paul Ebere Onuachu,Nigeria , Southampton , England Premier League (1),78,78,28,201cm,98kg,ST,1,£13M,£56K
Mathias Kristensen,Denmark , Lyngby BK , Denmark Superliga (1),61,61,29,201cm,98kg,ST,1,£300K,£2.2K
Tomas Chory,Czech Republic , Viktoria PlzeH , Rest of World,73,73,27,200cm,101kg,ST,1,£3M,£18.5K
Leonardo Rocha,Portugal , Radomiak Radom , Poland Ekstraklasa (1),66,71,25,200cm,72kg,ST,1,£1.1M,£2K
Mailson,Brazil , Al Taawoun , Saudi Pro League (1),69,73,26,200cm,75kg,GK,1,£1.3M,£7.8K
Kalidou Sidibe,France , Quevilly Rouen Metropole , France Ligue 2 (2),67,72,23,200cm,85kg,"CDM, CB",1,£1.3M,£1.6K
Till Cissokho,France , Quevilly Rouen Metropole , France Ligue 2 (2),65,73,22,200cm,88kg,CB,1,£1.4M,£1.2K
Conor Keeley,Republic of Ireland , Drogheda United , Rep. Ireland Premier Division (1),57,60,24,200cm,89kg,CB,1,£180K,£500
Jacob Karlstrom,Norway , Molde FK , Norway Eliteserien (1),68,73,25,200cm,90kg,GK,1,£1.3M,£2K
Sasa Kalajdzic,Austria , Wolverhampton Wanderers , England Premier League (1),77,79,25,200cm,93kg,ST,2,£12M,£66K
Johan Brattberg,Sweden , BK Hacken , Sweden Allsvenskan (1),61,66,25,200cm,93kg,GK,1,£350K,£851
Asmir Begovic,Bosnia Herzegovina , Everton , England Premier League (1),75,75,35,199cm,101kg,GK,3,£1.6M,£15K
Nick Pope,England , Newcastle United , England Premier League (1),83,83,30,199cm,76kg,GK,1,£23M,£79K
Aske Andresen,Denmark , Silkeborg IF , Denmark Superliga (1),55,75,17,199cm,78kg,GK,1,£275K,£500
Jake Cooper,England , Millwall , England Championship (2),74,75,27,199cm,85kg,CB,1,£3.8M,£11.5K
Jamie Searle,New Zealand , Barnsley , England League One (3),53,65,21,199cm,85kg,GK,1,£180K,£900
Jakob Haugaard,Denmark , Tromso IL , Norway Eliteserien (1),64,64,30,199cm,87kg,GK,1,£375K,£900
